"","id","value","variable","country","country_destination","actual"
"62","03bn85z6tg",7,"V4","IT","other",9
"63","03bn85z6tg",2,"V5","CA","other",9
"64","03bn85z6tg",9,"V1","other","other",9
"65","03bn85z6tg",5,"V2","FR","other",9
"66","03dv6xhyqj",7,"V3","IT","CA",2
"67","03dv6xhyqj",9,"V1","other","CA",2
"68","03dv6xhyqj",5,"V2","FR","CA",2
"69","03dv6xhyqj",4,"V4","ES","CA",2
"70","03dv6xhyqj",6,"V5","GB","CA",2
"71","03f1zxtzk0",7,"V3","IT","FR",5
"72","03f1zxtzk0",4,"V5","ES","FR",5
"73","03f1zxtzk0",5,"V2","FR","FR",5
"74","03f1zxtzk0",6,"V4","GB","FR",5
"75","03f1zxtzk0",9,"V1","other","FR",5
"76","03qtkpnx47",9,"V1","other","other",9
"77","03qtkpnx47",7,"V4","IT","other",9
"78","03qtkpnx47",6,"V3","GB","other",9
"79","03qtkpnx47",4,"V5","ES","other",9
"80","03qtkpnx47",5,"V2","FR","other",9
"81","03yyerv2a0",5,"V2","FR","other",9
"82","03yyerv2a0",4,"V4","ES","other",9
"83","03yyerv2a0",7,"V3","IT","other",9
"84","03yyerv2a0",6,"V5","GB","other",9
"85","03yyerv2a0",9,"V1","other","other",9
"86","04atg7t0xx",4,"V5","ES","GB",6
"87","04atg7t0xx",7,"V3","IT","GB",6
"88","04atg7t0xx",9,"V1","other","GB",6
"89","04atg7t0xx",6,"V4","GB","GB",6
"90","04atg7t0xx",5,"V2","FR","GB",6
"91","04j8tvvjm7",6,"V3","GB","NL",8
"92","04j8tvvjm7",2,"V5","CA","NL",8
"93","04j8tvvjm7",7,"V4","IT","NL",8
"94","04j8tvvjm7",5,"V2","FR","NL",8
"95","04j8tvvjm7",9,"V1","other","NL",8
"96","04n5iq4fu9",6,"V5","GB","other",9
"97","04n5iq4fu9",5,"V2","FR","other",9
"98","04n5iq4fu9",9,"V1","other","other",9
"99","04n5iq4fu9",4,"V3","ES","other",9
"100","04n5iq4fu9",7,"V4","IT","other",9
"101","04ta5zpsqx",9,"V1","other","CA",2
"102","04ta5zpsqx",5,"V2","FR","CA",2
"103","04ta5zpsqx",4,"V3","ES","CA",2
"104","04ta5zpsqx",7,"V4","IT","CA",2
"105","04ta5zpsqx",6,"V5","GB","CA",2
"106","04v8ghload",4,"V5","ES","IT",7
"107","04v8ghload",5,"V2","FR","IT",7
"108","04v8ghload",6,"V4","GB","IT",7
"109","04v8ghload",7,"V3","IT","IT",7
"110","04v8ghload",9,"V1","other","IT",7
"111","05eml9mod4",6,"V5","GB","FR",5
"112","05eml9mod4",5,"V2","FR","FR",5
"113","05eml9mod4",4,"V4","ES","FR",5
"114","05eml9mod4",7,"V3","IT","FR",5
"115","05eml9mod4",9,"V1","other","FR",5
"116","05nr9v2c64",6,"V3","GB","CA",2
"117","05nr9v2c64",4,"V5","ES","CA",2
"118","05nr9v2c64",7,"V4","IT","CA",2
"119","05nr9v2c64",5,"V2","FR","CA",2
"120","05nr9v2c64",9,"V1","other","CA",2
"121","05xffnxrk3",4,"V4","ES","other",9
"122","05xffnxrk3",6,"V5","GB","other",9
"123","05xffnxrk3",7,"V3","IT","other",9
"124","05xffnxrk3",5,"V2","FR","other",9
"125","05xffnxrk3",9,"V1","other","other",9
"126","05zznjnw3i",5,"V2","FR","GB",6
"127","05zznjnw3i",9,"V1","other","GB",6
"128","05zznjnw3i",7,"V3","IT","GB",6
"129","05zznjnw3i",6,"V5","GB","GB",6
"130","05zznjnw3i",4,"V4","ES","GB",6
"131","060qdp6rpz",8,"V5","NL","other",9
"132","060qdp6rpz",7,"V3","IT","other",9
"133","060qdp6rpz",4,"V4","ES","other",9
"134","060qdp6rpz",5,"V2","FR","other",9
"135","060qdp6rpz",9,"V1","other","other",9
"136","06do7u5d0t",6,"V5","GB","CA",2
"137","06do7u5d0t",4,"V4","ES","CA",2
"138","06do7u5d0t",5,"V2","FR","CA",2
"139","06do7u5d0t",9,"V1","other","CA",2
"140","06do7u5d0t",7,"V3","IT","CA",2
"141","06dresdguj",9,"V1","other","other",9
"142","06dresdguj",6,"V4","GB","other",9
"143","06dresdguj",7,"V3","IT","other",9
"144","06dresdguj",5,"V2","FR","other",9
"145","06dresdguj",4,"V5","ES","other",9
"146","06f4m5rq7j",5,"V2","FR","other",9
"147","06f4m5rq7j",7,"V3","IT","other",9
"148","06f4m5rq7j",4,"V4","ES","other",9
"149","06f4m5rq7j",9,"V1","other","other",9
"150","06f4m5rq7j",6,"V5","GB","other",9
"151","06jrad5d6i",7,"V3","IT","other",9
"152","06jrad5d6i",6,"V5","GB","other",9
"153","06jrad5d6i",5,"V2","FR","other",9
"154","06jrad5d6i",4,"V4","ES","other",9
"155","06jrad5d6i",9,"V1","other","other",9
"156","06te3rdrpk",7,"V4","IT","DE",3
"157","06te3rdrpk",4,"V3","ES","DE",3
"158","06te3rdrpk",6,"V5","GB","DE",3
"159","06te3rdrpk",5,"V2","FR","DE",3
"160","06te3rdrpk",9,"V1","other","DE",3
"161","06zzom3a66",6,"V5","GB","other",9
"162","06zzom3a66",7,"V4","IT","other",9
"163","06zzom3a66",9,"V1","other","other",9
"164","06zzom3a66",5,"V2","FR","other",9
"165","06zzom3a66",4,"V3","ES","other",9
"166","07rw84uz9j",6,"V5","GB","NL",8
"167","07rw84uz9j",5,"V2","FR","NL",8
"168","07rw84uz9j",7,"V3","IT","NL",8
"169","07rw84uz9j",4,"V4","ES","NL",8
"170","07rw84uz9j",9,"V1","other","NL",8
"171","07unuo91fa",5,"V2","FR","other",9
"172","07unuo91fa",6,"V4","GB","other",9
"173","07unuo91fa",4,"V5","ES","other",9
"174","07unuo91fa",9,"V1","other","other",9
"175","07unuo91fa",7,"V3","IT","other",9
"176","07wd4jveoo",2,"V5","CA","FR",5
"177","07wd4jveoo",7,"V4","IT","FR",5
"178","07wd4jveoo",9,"V1","other","FR",5
"179","07wd4jveoo",5,"V2","FR","FR",5
"180","07wd4jveoo",6,"V3","GB","FR",5
"181","083xybxddz",5,"V2","FR","NL",8
"182","083xybxddz",7,"V4","IT","NL",8
"183","083xybxddz",4,"V3","ES","NL",8
"184","083xybxddz",9,"V1","other","NL",8
"185","083xybxddz",6,"V5","GB","NL",8
"186","08beibxr1s",5,"V2","FR","other",9
"187","08beibxr1s",6,"V5","GB","other",9
"188","08beibxr1s",7,"V4","IT","other",9
"189","08beibxr1s",4,"V3","ES","other",9
"190","08beibxr1s",9,"V1","other","other",9
"191","08dyoojrwl",7,"V4","IT","other",9
"192","08dyoojrwl",6,"V5","GB","other",9
"193","08dyoojrwl",9,"V1","other","other",9
"194","08dyoojrwl",5,"V2","FR","other",9
"195","08dyoojrwl",4,"V3","ES","other",9
"196","08tzs36dbs",5,"V2","FR","other",9
"197","08tzs36dbs",4,"V5","ES","other",9
"198","08tzs36dbs",7,"V3","IT","other",9
"199","08tzs36dbs",9,"V1","other","other",9
"200","08tzs36dbs",6,"V4","GB","other",9
"201","09305vitud",9,"V1","other","other",9
"202","09305vitud",7,"V2","IT","other",9
"203","09305vitud",4,"V4","ES","other",9
"204","09305vitud",5,"V3","FR","other",9
"205","09305vitud",3,"V5","DE","other",9
"206","0940ozm46m",6,"V4","GB","other",9
"207","0940ozm46m",4,"V5","ES","other",9
"208","0940ozm46m",9,"V1","other","other",9
"209","0940ozm46m",5,"V2","FR","other",9
"210","0940ozm46m",7,"V3","IT","other",9
"211","09s5etaus6",6,"V5","GB","ES",4
"212","09s5etaus6",5,"V3","FR","ES",4
"213","09s5etaus6",3,"V2","DE","ES",4
"214","09s5etaus6",4,"V4","ES","ES",4
"215","09s5etaus6",9,"V1","other","ES",4
"216","09v7gnouke",9,"V1","other","other",9
"217","09v7gnouke",5,"V2","FR","other",9
"218","09v7gnouke",4,"V4","ES","other",9
"219","09v7gnouke",6,"V5","GB","other",9
"220","09v7gnouke",7,"V3","IT","other",9
"221","09vmak1f1a",6,"V5","GB","FR",5
"222","09vmak1f1a",9,"V1","other","FR",5
"223","09vmak1f1a",4,"V4","ES","FR",5
"224","09vmak1f1a",5,"V2","FR","FR",5
"225","09vmak1f1a",7,"V3","IT","FR",5
"226","0a0ehooxge",7,"V3","IT","CA",2
"227","0a0ehooxge",5,"V2","FR","CA",2
"228","0a0ehooxge",4,"V4","ES","CA",2
"229","0a0ehooxge",9,"V1","other","CA",2
"230","0a0ehooxge",6,"V5","GB","CA",2
"231","0a3rom5nit",6,"V3","GB","FR",5
"232","0a3rom5nit",7,"V4","IT","FR",5
"233","0a3rom5nit",9,"V1","other","FR",5
"234","0a3rom5nit",5,"V2","FR","FR",5
"235","0a3rom5nit",4,"V5","ES","FR",5
"236","0abx4s7z35",6,"V4","GB","IT",7
"237","0abx4s7z35",4,"V5","ES","IT",7
"238","0abx4s7z35",5,"V2","FR","IT",7
"239","0abx4s7z35",7,"V3","IT","IT",7
"240","0abx4s7z35",9,"V1","other","IT",7
"241","0askh9jadf",7,"V3","IT","FR",5
"242","0askh9jadf",4,"V5","ES","FR",5
"243","0askh9jadf",6,"V4","GB","FR",5
"244","0askh9jadf",5,"V2","FR","FR",5
"245","0askh9jadf",9,"V1","other","FR",5
"246","0awvleens1",4,"V4","ES","CA",2
"247","0awvleens1",5,"V2","FR","CA",2
"248","0awvleens1",9,"V1","other","CA",2
"249","0awvleens1",6,"V5","GB","CA",2
"250","0awvleens1",7,"V3","IT","CA",2
"251","0aym8i45if",9,"V1","other","CA",2
"252","0aym8i45if",6,"V5","GB","CA",2
"253","0aym8i45if",7,"V4","IT","CA",2
"254","0aym8i45if",5,"V2","FR","CA",2
"255","0aym8i45if",4,"V3","ES","CA",2
"256","0azezw1b7z",4,"V5","ES","CA",2
"257","0azezw1b7z",2,"V3","CA","CA",2
"258","0azezw1b7z",7,"V4","IT","CA",2
"259","0azezw1b7z",9,"V1","other","CA",2
"260","0azezw1b7z",5,"V2","FR","CA",2
"261","0b1twtz73a",6,"V4","GB","ES",4
"262","0b1twtz73a",5,"V2","FR","ES",4
"263","0b1twtz73a",9,"V1","other","ES",4
"264","0b1twtz73a",7,"V3","IT","ES",4
"265","0b1twtz73a",4,"V5","ES","ES",4
"266","0b2d27p9q4",5,"V2","FR","other",9
"267","0b2d27p9q4",9,"V1","other","other",9
"268","0b2d27p9q4",6,"V5","GB","other",9
"269","0b2d27p9q4",7,"V4","IT","other",9
"270","0b2d27p9q4",4,"V3","ES","other",9
"271","0b2unf8yf3",7,"V3","IT","other",9
"272","0b2unf8yf3",9,"V1","other","other",9
"273","0b2unf8yf3",5,"V2","FR","other",9
"274","0b2unf8yf3",4,"V4","ES","other",9
"275","0b2unf8yf3",6,"V5","GB","other",9
"276","0b6lf8jd3n",6,"V5","GB","other",9
"277","0b6lf8jd3n",5,"V2","FR","other",9
"278","0b6lf8jd3n",4,"V4","ES","other",9
"279","0b6lf8jd3n",9,"V1","other","other",9
"280","0b6lf8jd3n",7,"V3","IT","other",9
"281","0bckg92sr5",6,"V5","GB","other",9
"282","0bckg92sr5",7,"V3","IT","other",9
"283","0bckg92sr5",9,"V1","other","other",9
"284","0bckg92sr5",4,"V4","ES","other",9
"285","0bckg92sr5",5,"V2","FR","other",9
"286","0bnzr20d1i",6,"V5","GB","ES",4
"287","0bnzr20d1i",4,"V3","ES","ES",4
"288","0bnzr20d1i",9,"V1","other","ES",4
"289","0bnzr20d1i",5,"V2","FR","ES",4
"290","0bnzr20d1i",7,"V4","IT","ES",4
"291","0bv1o2sorj",7,"V3","IT","GB",6
"292","0bv1o2sorj",5,"V2","FR","GB",6
"293","0bv1o2sorj",4,"V5","ES","GB",6
"294","0bv1o2sorj",6,"V4","GB","GB",6
"295","0bv1o2sorj",9,"V1","other","GB",6
"296","0clt34i8pt",7,"V4","IT","other",9
"297","0clt34i8pt",9,"V1","other","other",9
"298","0clt34i8pt",5,"V2","FR","other",9
"299","0clt34i8pt",4,"V5","ES","other",9
"300","0clt34i8pt",6,"V3","GB","other",9
"301","0cyihyw891",6,"V4","GB","GB",6
"302","0cyihyw891",9,"V1","other","GB",6
"303","0cyihyw891",5,"V2","FR","GB",6
"304","0cyihyw891",4,"V5","ES","GB",6
"305","0cyihyw891",7,"V3","IT","GB",6
"306","0d6gjm5ast",4,"V5","ES","ES",4
"307","0d6gjm5ast",5,"V2","FR","ES",4
"308","0d6gjm5ast",9,"V1","other","ES",4
"309","0d6gjm5ast",7,"V3","IT","ES",4
"310","0d6gjm5ast",6,"V4","GB","ES",4
"311","0de25mri9t",9,"V1","other","FR",5
"312","0de25mri9t",4,"V4","ES","FR",5
"313","0de25mri9t",7,"V3","IT","FR",5
"314","0de25mri9t",6,"V5","GB","FR",5
"315","0de25mri9t",5,"V2","FR","FR",5
"316","0dgbxd008l",6,"V5","GB","CA",2
"317","0dgbxd008l",5,"V2","FR","CA",2
"318","0dgbxd008l",4,"V3","ES","CA",2
"319","0dgbxd008l",7,"V4","IT","CA",2
"320","0dgbxd008l",9,"V1","other","CA",2
"321","0dhc6zes8i",6,"V5","GB","other",9
"322","0dhc6zes8i",5,"V2","FR","other",9
"323","0dhc6zes8i",9,"V1","other","other",9
"324","0dhc6zes8i",7,"V4","IT","other",9
"325","0dhc6zes8i",4,"V3","ES","other",9
"326","0dkykm0f9p",7,"V3","IT","other",9
"327","0dkykm0f9p",6,"V4","GB","other",9
"328","0dkykm0f9p",5,"V2","FR","other",9
"329","0dkykm0f9p",9,"V1","other","other",9
"330","0dkykm0f9p",4,"V5","ES","other",9
"331","0dn4nobj45",9,"V1","other","NL",8
"332","0dn4nobj45",2,"V3","CA","NL",8
"333","0dn4nobj45",7,"V5","IT","NL",8
"334","0dn4nobj45",5,"V2","FR","NL",8
"335","0dn4nobj45",6,"V4","GB","NL",8
"336","0du04w9ncs",4,"V4","ES","other",9
"337","0du04w9ncs",9,"V1","other","other",9
"338","0du04w9ncs",5,"V2","FR","other",9
"339","0du04w9ncs",7,"V3","IT","other",9
"340","0du04w9ncs",6,"V5","GB","other",9
"341","0e7kb68mjy",4,"V4","ES","IT",7
"342","0e7kb68mjy",9,"V1","other","IT",7
"343","0e7kb68mjy",5,"V2","FR","IT",7
"344","0e7kb68mjy",7,"V3","IT","IT",7
"345","0e7kb68mjy",6,"V5","GB","IT",7
"346","0ehvv3ho35",7,"V3","IT","FR",5
"347","0ehvv3ho35",2,"V5","CA","FR",5
"348","0ehvv3ho35",9,"V1","other","FR",5
"349","0ehvv3ho35",5,"V2","FR","FR",5
"350","0ehvv3ho35",6,"V4","GB","FR",5
"351","0es5ojukfg",6,"V5","GB","FR",5
"352","0es5ojukfg",9,"V1","other","FR",5
"353","0es5ojukfg",4,"V4","ES","FR",5
"354","0es5ojukfg",5,"V2","FR","FR",5
"355","0es5ojukfg",7,"V3","IT","FR",5
"356","0f2h2obltx",6,"V4","GB","GB",6
"357","0f2h2obltx",5,"V2","FR","GB",6
"358","0f2h2obltx",7,"V3","IT","GB",6
"359","0f2h2obltx",4,"V5","ES","GB",6
"360","0f2h2obltx",9,"V1","other","GB",6
"361","0f69ebol95",5,"V4","FR","other",9
"362","0f69ebol95",7,"V2","IT","other",9
"363","0f69ebol95",9,"V1","other","other",9
"364","0f69ebol95",6,"V5","GB","other",9
"365","0f69ebol95",4,"V3","ES","other",9
"366","0faj7c425r",4,"V4","ES","DE",3
"367","0faj7c425r",6,"V5","GB","DE",3
"368","0faj7c425r",7,"V3","IT","DE",3
"369","0faj7c425r",5,"V1","FR","DE",3
"370","0faj7c425r",9,"V2","other","DE",3
"371","0fexnzlzh4",6,"V3","GB","FR",5
"372","0fexnzlzh4",7,"V4","IT","FR",5
"373","0fexnzlzh4",4,"V5","ES","FR",5
"374","0fexnzlzh4",5,"V2","FR","FR",5
"375","0fexnzlzh4",9,"V1","other","FR",5
"376","0fj1fpro9l",6,"V5","GB","FR",5
"377","0fj1fpro9l",7,"V3","IT","FR",5
"378","0fj1fpro9l",4,"V4","ES","FR",5
"379","0fj1fpro9l",5,"V2","FR","FR",5
"380","0fj1fpro9l",9,"V1","other","FR",5
"381","0fwpmwrbqq",9,"V1","other","ES",4
"382","0fwpmwrbqq",4,"V5","ES","ES",4
"383","0fwpmwrbqq",5,"V3","FR","ES",4
"384","0fwpmwrbqq",6,"V4","GB","ES",4
"385","0fwpmwrbqq",7,"V2","IT","ES",4
"386","0fzs896sco",5,"V2","FR","FR",5
"387","0fzs896sco",4,"V5","ES","FR",5
"388","0fzs896sco",9,"V1","other","FR",5
"389","0fzs896sco",6,"V3","GB","FR",5
"390","0fzs896sco",7,"V4","IT","FR",5
"391","0g0oy73tke",6,"V5","GB","FR",5
"392","0g0oy73tke",4,"V4","ES","FR",5
"393","0g0oy73tke",7,"V3","IT","FR",5
"394","0g0oy73tke",5,"V2","FR","FR",5
"395","0g0oy73tke",9,"V1","other","FR",5
"396","0g1gf6j2t0",9,"V1","other","FR",5
"397","0g1gf6j2t0",5,"V2","FR","FR",5
"398","0g1gf6j2t0",4,"V4","ES","FR",5
"399","0g1gf6j2t0",6,"V5","GB","FR",5
"400","0g1gf6j2t0",7,"V3","IT","FR",5
"401","0g7mkeltsx",7,"V5","IT","CA",2
"402","0g7mkeltsx",9,"V1","other","CA",2
"403","0g7mkeltsx",4,"V3","ES","CA",2
"404","0g7mkeltsx",6,"V4","GB","CA",2
"405","0g7mkeltsx",5,"V2","FR","CA",2
"406","0gwnjqum9m",5,"V2","FR","AU",1
"407","0gwnjqum9m",4,"V4","ES","AU",1
"408","0gwnjqum9m",7,"V3","IT","AU",1
"409","0gwnjqum9m",9,"V1","other","AU",1
"410","0gwnjqum9m",6,"V5","GB","AU",1
"411","0h3ewsf3gu",5,"V2","FR","other",9
"412","0h3ewsf3gu",7,"V3","IT","other",9
"413","0h3ewsf3gu",9,"V1","other","other",9
"414","0h3ewsf3gu",6,"V4","GB","other",9
"415","0h3ewsf3gu",4,"V5","ES","other",9
"416","0hc1c58f3h",7,"V3","IT","other",9
"417","0hc1c58f3h",9,"V1","other","other",9
"418","0hc1c58f3h",4,"V4","ES","other",9
"419","0hc1c58f3h",6,"V5","GB","other",9
"420","0hc1c58f3h",5,"V2","FR","other",9
"421","0hjgwawx6v",7,"V3","IT","GB",6
"422","0hjgwawx6v",9,"V1","other","GB",6
"423","0hjgwawx6v",4,"V5","ES","GB",6
"424","0hjgwawx6v",5,"V2","FR","GB",6
"425","0hjgwawx6v",6,"V4","GB","GB",6
"426","0hjij5mpba",5,"V2","FR","other",9
"427","0hjij5mpba",4,"V4","ES","other",9
"428","0hjij5mpba",9,"V1","other","other",9
"429","0hjij5mpba",6,"V5","GB","other",9
"430","0hjij5mpba",7,"V3","IT","other",9
"431","0hq37swk7p",4,"V5","ES","ES",4
"432","0hq37swk7p",5,"V2","FR","ES",4
"433","0hq37swk7p",7,"V4","IT","ES",4
"434","0hq37swk7p",6,"V3","GB","ES",4
"435","0hq37swk7p",9,"V1","other","ES",4
"436","0ic381u45d",7,"V3","IT","other",9
"437","0ic381u45d",9,"V1","other","other",9
"438","0ic381u45d",4,"V4","ES","other",9
"439","0ic381u45d",5,"V2","FR","other",9
"440","0ic381u45d",6,"V5","GB","other",9
"441","0icg8p3g5x",4,"V4","ES","NL",8
"442","0icg8p3g5x",5,"V2","FR","NL",8
"443","0icg8p3g5x",7,"V3","IT","NL",8
"444","0icg8p3g5x",9,"V1","other","NL",8
"445","0icg8p3g5x",6,"V5","GB","NL",8
"446","0iv2utq3hz",9,"V2","other","IT",7
"447","0iv2utq3hz",4,"V4","ES","IT",7
"448","0iv2utq3hz",6,"V5","GB","IT",7
"449","0iv2utq3hz",5,"V1","FR","IT",7
"450","0iv2utq3hz",7,"V3","IT","IT",7
"451","0iyx9ahrtt",5,"V2","FR","other",9
"452","0iyx9ahrtt",9,"V1","other","other",9
"453","0iyx9ahrtt",4,"V4","ES","other",9
"454","0iyx9ahrtt",6,"V5","GB","other",9
"455","0iyx9ahrtt",7,"V3","IT","other",9
"456","0j1fqtqsue",9,"V1","other","NL",8
"457","0j1fqtqsue",4,"V5","ES","NL",8
"458","0j1fqtqsue",6,"V4","GB","NL",8
"459","0j1fqtqsue",5,"V2","FR","NL",8
"460","0j1fqtqsue",7,"V3","IT","NL",8
"461","0j5wdyfs2p",6,"V5","GB","other",9
"462","0j5wdyfs2p",7,"V3","IT","other",9
"463","0j5wdyfs2p",4,"V4","ES","other",9
"464","0j5wdyfs2p",9,"V1","other","other",9
"465","0j5wdyfs2p",5,"V2","FR","other",9
"466","0jbvzvr5am",6,"V5","GB","IT",7
"467","0jbvzvr5am",9,"V1","other","IT",7
"468","0jbvzvr5am",7,"V3","IT","IT",7
"469","0jbvzvr5am",5,"V2","FR","IT",7
"470","0jbvzvr5am",4,"V4","ES","IT",7
"471","0je4qp5mb2",4,"V5","ES","FR",5
"472","0je4qp5mb2",6,"V4","GB","FR",5
"473","0je4qp5mb2",9,"V1","other","FR",5
"474","0je4qp5mb2",7,"V3","IT","FR",5
"475","0je4qp5mb2",5,"V2","FR","FR",5
"476","0jrf9ticel",4,"V4","ES","IT",7
"477","0jrf9ticel",7,"V3","IT","IT",7
"478","0jrf9ticel",9,"V1","other","IT",7
"479","0jrf9ticel",6,"V5","GB","IT",7
"480","0jrf9ticel",5,"V2","FR","IT",7
"481","0jxgf5rs87",5,"V2","FR","AU",1
"482","0jxgf5rs87",6,"V4","GB","AU",1
"483","0jxgf5rs87",9,"V1","other","AU",1
"484","0jxgf5rs87",7,"V3","IT","AU",1
"485","0jxgf5rs87",4,"V5","ES","AU",1
"491","0kiyncj1pu",4,"V4","ES","other",9
"492","0kiyncj1pu",9,"V1","other","other",9
"493","0kiyncj1pu",6,"V5","GB","other",9
"494","0kiyncj1pu",5,"V2","FR","other",9
"495","0kiyncj1pu",7,"V3","IT","other",9
"496","0kjvdxipib",9,"V1","other","FR",5
"497","0kjvdxipib",6,"V5","GB","FR",5
"498","0kjvdxipib",7,"V4","IT","FR",5
"499","0kjvdxipib",5,"V2","FR","FR",5
"500","0kjvdxipib",4,"V3","ES","FR",5
"501","0kv6dnm72r",6,"V3","GB","other",9
"502","0kv6dnm72r",5,"V2","FR","other",9
"503","0kv6dnm72r",2,"V5","CA","other",9
"504","0kv6dnm72r",7,"V4","IT","other",9
"505","0kv6dnm72r",9,"V1","other","other",9
"506","0kwniv1u7a",7,"V3","IT","GB",6
"507","0kwniv1u7a",5,"V2","FR","GB",6
"508","0kwniv1u7a",6,"V5","GB","GB",6
"509","0kwniv1u7a",4,"V4","ES","GB",6
"510","0kwniv1u7a",9,"V1","other","GB",6
"511","0l0k04yf86",7,"V3","IT","CA",2
"512","0l0k04yf86",6,"V5","GB","CA",2
"513","0l0k04yf86",5,"V2","FR","CA",2
"514","0l0k04yf86",4,"V4","ES","CA",2
"515","0l0k04yf86",9,"V1","other","CA",2
"516","0ligxfzckb",9,"V1","other","DE",3
"517","0ligxfzckb",5,"V3","FR","DE",3
"518","0ligxfzckb",4,"V4","ES","DE",3
"519","0ligxfzckb",6,"V5","GB","DE",3
"520","0ligxfzckb",7,"V2","IT","DE",3
"521","0lnec852xh",2,"V5","CA","FR",5
"522","0lnec852xh",6,"V4","GB","FR",5
"523","0lnec852xh",7,"V3","IT","FR",5
"524","0lnec852xh",5,"V2","FR","FR",5
"525","0lnec852xh",9,"V1","other","FR",5
"526","0lrmzo9z6b",7,"V4","IT","CA",2
"527","0lrmzo9z6b",5,"V2","FR","CA",2
"528","0lrmzo9z6b",6,"V3","GB","CA",2
"529","0lrmzo9z6b",9,"V1","other","CA",2
"530","0lrmzo9z6b",4,"V5","ES","CA",2
"531","0lx04wmtb9",9,"V1","other","other",9
"532","0lx04wmtb9",6,"V5","GB","other",9
"533","0lx04wmtb9",5,"V2","FR","other",9
"534","0lx04wmtb9",4,"V4","ES","other",9
"535","0lx04wmtb9",7,"V3","IT","other",9
"536","0me69rg4gb",6,"V5","GB","DE",3
"537","0me69rg4gb",9,"V2","other","DE",3
"538","0me69rg4gb",5,"V1","FR","DE",3
"539","0me69rg4gb",7,"V3","IT","DE",3
"540","0me69rg4gb",4,"V4","ES","DE",3
"541","0mf7q2s5m8",4,"V5","ES","other",9
"542","0mf7q2s5m8",5,"V2","FR","other",9
"543","0mf7q2s5m8",6,"V3","GB","other",9
"544","0mf7q2s5m8",9,"V1","other","other",9
"545","0mf7q2s5m8",7,"V4","IT","other",9
"546","0mg5xi9ahe",6,"V3","GB","FR",5
"547","0mg5xi9ahe",7,"V4","IT","FR",5
"548","0mg5xi9ahe",5,"V2","FR","FR",5
"549","0mg5xi9ahe",9,"V1","other","FR",5
"550","0mg5xi9ahe",4,"V5","ES","FR",5
